country,temp
Burkina Faso,30.01
Mali,29.78
Senegal,29.63
Qatar,29.42
Mauritania,29.3
Bahrain,29.15
United Arab Emirates,29.08
Aruba,29.03
Gambia,29
Guinea Bissau,28.76
Benin,28.7
Djibouti,28.46
Ghana,28.3
Sudan,28.17
Oman,28.1
Niger,28.09
Marshall Islands,28.07
Togo,28.05
Cayman Islands,27.99
Kuwait,27.89
Guam,27.88
Maldives,27.74
Singapore,27.74
Chad,27.72
Nigeria,27.67
Northern Mariana Islands,27.65
St Kitts and Nevis,27.61
Palau,27.56
Samoa,27.56
Kiribati,27.49
Cambodia,27.44
Sri Lanka,27.41
Ivory Coast,27.37
American Samoa,27.34
Antigua and Barbuda,27.33
Sierra Leone,27.19
Seychelles,27.07
St Lucia,27.04
Micronesia,27.01
Dominica,26.91
Thailand,26.91
Somalia,26.88
Eritrea,26.87
Virgin Islands,26.83
Saudi Arabia,26.8
Barbados,26.64
Philippines,26.6
Guinea,26.59
Suriname,26.56
Trinidad and Tobago,26.54
Grenada,26.49
Malaysia,26.46
Nicaragua,26.19
St Vincent and the Grenadines,26.17
Belize,26.15
Guyana,26.15
Cuba,26.05
Indonesia,25.99
Liberia,25.87
Jamaica,25.8
Central African Republic,25.78
Bangladesh,25.68
Gabon,25.65
Panama,25.62
Yemen,25.62
Venezuela,25.61
Solomon Islands,25.6
Brazil,25.58
El Salvador,25.56
Bahamas,25.5
Congo,25.23
Kenya,25.23
Republic of the Congo,25.23
Cameroon,25.21
Puerto Rico,25.11
Equatorial Guinea,25.08
Mayotte,25.08
Haiti,25.06
Honduras,25.05
Vietnam,25.03
Fiji,25.01
India,24.99
Colombia,24.97
Costa Rica,24.94
Tonga,24.74
Papua New Guinea,24.73
Vanuatu,24.72
Dominican Republic,24.7
Sao Tome and Principe,24.7
Mozambique,24.53
Laos,24.32
Hong Kong,24.24
Iraq,24.22
Guatemala,24.09
Myanmar,24.08
Paraguay,24.01
Macau,23.96
Algeria,23.93
Egypt,23.88
Mauritius,23.67
Comoros,23.51
Cape Verde,23.45
Ethiopia,23.35
Uganda,23.22
Libya,23.05
New Caledonia,23.04
Tanzania,23
Madagascar,22.87
Malawi,22.79
French Polynesia,22.19
Zambia,22.12
Australia,22.06
Zimbabwe,21.87
Mexico,21.86
Angola,21.74
Botswana,21.74
Pakistan,21.68
Ecuador,21.38
Tunisia,21.33
Taiwan,21.03
Israel,20.87
Bolivia,20.82
Swaziland,20.55
Burundi,20.53
Jordan,20.36
Palestine,20.36
Malta,20.28
Namibia,20.12
Cyprus,19.84
Peru,19.79
Syria,19.72
Iran,19.54
Rwanda,19.21
Morocco,18.48
South Africa,18.06
Uruguay,18.06
Turkmenistan,17.65
Lebanon,16.23
Portugal,16.09
Argentina,15.4
Greece,14.89
Uzbekistan,14.78
Nepal,14.32
Afghanistan,14.3
Azerbaijan,14.29
Spain,14.25
Monaco,13.62
Italy,13.5
South Korea,13.04
San Marino,12.95
Albania,12.92
Turkey,12.63
Japan,12.36
Lesotho,12.26
Bulgaria,11.98
Croatia,11.95
Serbia,11.67
France,11.57
Hungary,11.57
Macedonia,11.42
New Zealand,11.23
Moldova,10.94
Bhutan,10.8
Bosnia and Herzegovina,10.66
Belgium,10.47
Netherlands,10.39
Romania,10.35
Montenegro,10.2
Georgia,10.06
United States,10
Ireland,9.95
Slovenia,9.9
Isle of Man,9.89
Chile,9.88
Luxembourg,9.81
Germany,9.49
Ukraine,9.38
United Kingdom,9.38
Denmark,8.92
Armenia,8.84
Slovakia,8.78
Poland,8.75
Czech Republic,8.5
Andorra,8.43
China,8.19
Kazakhstan,7.88
North Korea,7.79
Liechtenstein,7.42
Austria,7.35
Belarus,7.33
Lithuania,7.28
Latvia,6.81
Faroe Islands,6.5
Switzerland,6.42
Estonia,6.28
Tajikistan,4.52
Kyrgyzstan,3.35
Sweden,3.02
Iceland,2.4
Finland,2.3
Mongolia,2.07
Norway,2.06
Russia,-3.64
Canada,-3.71
Greenland,-17.56
